normalized,display,temas,variantes
armonia show,Armonía Show,161,ARMONIA SHOW | Armonia Show | Armonia show | Armonía Show
el combo dominicano,El Combo Dominicano,158,EL Combo Dominicano | El  Combo Dominicano | El COMBO DOMINICANO | El Combo Dominicano
marc anthony,Marc Anthony,81,Marc Anthony | Marc anthony
grupo bomba,Grupo Bomba,74,Grupo Bomba | Grupo bomba
rafaga,Rafaga,58,RAFAGA | Rafaga | Ráfaga
tropin,Tropin,42,TROPIN | Tropin
manny manuel,Manny Manuel,39,MANNY MANUEL | Manny Manuel
nuevo klan,Nuevo Klan,38,NUEVO KLAN | Nuevo KLan | Nuevo Klan
sabrosos de anaga,Sabrosos De Anaga,33,Sabrosos De Anaga | Sabrosos de Anaga
dinacord,Dinacord,29,DINACORD | Dinacord
acapulco,Acapulco,28,ACAPULCO | Acapulco
rubby perez,Rubby Perez,28,RUBBY PEREZ | Rubby Perez | Rubby Pérez
furia joven,Furia Joven,27,Furia Joven | Furia joven
elvis crespo,Elvis Crespo,26,ELVIS CRESPO | Elvis Crespo
eddy herrera,Eddy Herrera,24,Eddy Herrera | Eddy herrera
el jeffrey,El Jeffrey,24,EL JEFFREY | El Jeffrey | El jeffrey | el Jeffrey
frankie ruiz,Frankie Ruiz,23,FRANKIE RUIZ | Frankie Ruiz | Frankie Ruíz
melodia show,Melodía Show,23,Melodia Show | Melodía Show
grupo mania,Grupo Mania,21,Grupo Mania | Grupo Manía
guira latina,Güira Latina,20,GÜIRA LATINA | GüIra Latina | Güira Latina | Güíra Latina
vibraciones,Vibraciones,19,VIBRACIONES | Vibraciones
malibu band,Malibu Band,18,Malibu Band | Malibú  Band | Malibú Band
victor manuelle,Víctor Manuelle,18,VICTOR MANUELLE | Victor Manuelle | Víctor Manuelle
hermanos yaipen,Hermanos Yaipen,16,Hermanos Yaipen | Hermanos Yaipén
clase aparte,Clase Aparte,15,Clase Aparte | Clase aparte
hermanos rosario,Hermanos Rosario,14,Hermanos  Rosario | Hermanos Rosario
junior klan,Junior Klan,14,JUNIOR KLAN | Junior Klan
rey ruiz,Rey Ruiz,14,REY RUIZ | Rey Ruiz | Rey Ruíz
grupo niche,Grupo Niche,13,GRUPO NICHE | Grupo Niche
raffy matias,Raffy Matias,13,RAFFY MATIAS | Raffy Matias
yiyo sarante,Yiyo Sarante,13,YIYO SARANTE | Yiyo Sarante
celia cruz,Celia Cruz,12,CELIA CRUZ | Celia  Cruz | Celia Cruz
escuela del amor,Escuela del amor,12,Escuela Del Amor | Escuela del amor
zona roja,Zona Roja,12,ZONA ROJA | Zona Roja
atlantic,Atlantic,11,ATLANTIC | Atlantic
prince royce,Prince Royce,11,PRINCE ROYCE | Prince Royce
luis miguel del amargue,Luis Miguel del Amargue,10,LUIS MIGUEL DEL AMARGUE | Luis Miguel Del Amargue | Luis Miguel del Amargue
sabrosos del merengue,Sabrosos Del Merengue,10,SABROSOS DEL MERENGUE | Sabrosos Del Merengue | Sabrosos del Merengue | Sabrosos del merengue
suso y familia,Suso y Familia,10,Suso y Familia | Suso y familia | suso y Familia
grupo ld,Grupo LD,9,GRUPO LD | Grupo LD | Grupo Ld
sonora olimpia,Sonora Olimpia,9,SONORA OLIMPIA | Sonora Olimpia | sonora olimpia
tentacion,Tentación,9,Tentacion | Tentación
tito nieves,Tito Nieves,9,TITO NIEVES | Tito Nieves
daniela darcourt,Daniela Darcourt,8,DANIELA DARCOURT | Daniela Darcourt
hector acosta,Hector Acosta,8,HECTOR  ACOSTA | HECTOR ACOSTA | Hector Acosta
jose alberto el canario,Jose Alberto El Canario,8,Jose Alberto El Canario | Jose Alberto el Canario
la organizacion,La Organizacion,7,La Organizacion | La Organización
ladys del swing,Ladys Del Swing,7,Ladys Del Swing | Ladys del Swing
revelacion,Revelación,7,Revelacion | Revelación
rikarena,Rikarena,7,RIKARENA | Rikarena
saoco,Saoco,7,SAOCO | Saoco
alex matos,ALEX MATOS,6,ALEX MATOS | Alex Matos
eddy manuel,Eddy manuel,6,Eddy Manuel | Eddy manuel
fernando villalona,Fernando Villalona,6,FERNANDO VILLALONA | Fernando Villalona
miguel angel,Miguel Ángel,6,Miguel Angel | Miguel Ángel
olga tanon,Olga Tañon,6,Olga Tanon | Olga Tañon
rikabanda,Rikabanda,6,RikaBanda | Rikabanda
the boss,The boss,6,The Boss | The boss
fuera de liga,Fuera de liga,5,Fuera De Liga | Fuera de Liga | Fuera de liga
generasion,Generasión,5,GENERASION | Generasion | Generasión
gerson galvan,Gerson Galván,5,Gerson Galvan | Gerson Galván
la rosa,La Rosa,5,La  Rosa | La Rosa
maelo ruiz,Maelo Ruiz,5,MAELO RUIZ | Maelo Ruiz | Maelo ruiz
osman broody,OSMAN BROODY,5,OSMAN BROODY | Osman Broody
ronny soler,Ronny Soler,5,RONNY SOLER | Ronny Soler
tono rosario,Toño Rosario,5,TOÑO ROSARIO | Toño Rosario
codigo cero,Código Cero,4,Codigo Cero | Código Cero
eddie santiago,Eddie Santiago,4,EDDIE SANTIAGO | Eddie Santiago | Eddie santiago
guayacan,Guayacan,4,Guayacan | Guayacán
